"","ID","Token","Rating","Condition","Speaker","ratingType","rep","Sent"
"96","L6","Sub26_Int_tsent.2_moreClear",64,"moreClear","Sub26","Int","2","tsent"
"97","L6","Sub32_Int_ksent.1_conv",83,"conv","Sub32","Int","1","ksent"
"98","L6","Sub32_Int_ksent.1_lessClear",77,"lessClear","Sub32","Int","1","ksent"
"99","L6","Sub32_Int_ksent.1_moreClear",84,"moreClear","Sub32","Int","1","ksent"
"100","L6","Sub24_AP_tsent.1_conv",45,"conv","Sub24","AP","1","tsent"
"101","L6","Sub24_AP_tsent.1_lessClear",46,"lessClear","Sub24","AP","1","tsent"
"102","L6","Sub24_AP_tsent.1_moreClear",54,"moreClear","Sub24","AP","1","tsent"
"103","L6","Sub26_AP_ksent.1_conv",42,"conv","Sub26","AP","1","ksent"
"104","L6","Sub26_AP_ksent.1_lessClear",40,"lessClear","Sub26","AP","1","ksent"
"105","L6","Sub26_AP_ksent.1_moreClear",58,"moreClear","Sub26","AP","1","ksent"
"106","L6","Sub32_AP_bsent.2_conv",65,"conv","Sub32","AP","2","bsent"
"107","L6","Sub32_AP_bsent.2_lessClear",59,"lessClear","Sub32","AP","2","bsent"
"108","L6","Sub32_AP_bsent.2_moreClear",72,"moreClear","Sub32","AP","2","bsent"
"109","L7","Sub34_Int_bsent.5_conv",13,"conv","Sub34","Int","5","bsent"
"110","L7","Sub34_Int_bsent.5_lessClear",0,"lessClear","Sub34","Int","5","bsent"
"111","L7","Sub34_Int_bsent.5_moreClear",9,"moreClear","Sub34","Int","5","bsent"
"112","L7","Sub22_Int_tsent.2_conv",10,"conv","Sub22","Int","2","tsent"
"113","L7","Sub22_Int_tsent.2_lessClear",6,"lessClear","Sub22","Int","2","tsent"
"114","L7","Sub22_Int_tsent.2_moreClear",5,"moreClear","Sub22","Int","2","tsent"
"115","L7","Sub24_Int_ksent.5_conv",6,"conv","Sub24","Int","5","ksent"
"116","L7","Sub24_Int_ksent.5_lessClear",4,"lessClear","Sub24","Int","5","ksent"
"117","L7","Sub24_Int_ksent.5_moreClear",6,"moreClear","Sub24","Int","5","ksent"
"118","L7","Sub34_AP_tsent.2_conv",3,"conv","Sub34","AP","2","tsent"
"119","L7","Sub34_AP_tsent.2_lessClear",3,"lessClear","Sub34","AP","2","tsent"
"120","L7","Sub34_AP_tsent.2_moreClear",4,"moreClear","Sub34","AP","2","tsent"
"121","L7","Sub22_AP_ksent.2_conv",3,"conv","Sub22","AP","2","ksent"
"122","L7","Sub22_AP_ksent.2_lessClear",3,"lessClear","Sub22","AP","2","ksent"
"123","L7","Sub22_AP_ksent.2_moreClear",4,"moreClear","Sub22","AP","2","ksent"
"124","L7","Sub24_AP_bsent.2_conv",4,"conv","Sub24","AP","2","bsent"
"125","L7","Sub24_AP_bsent.2_lessClear",3,"lessClear","Sub24","AP","2","bsent"
"126","L7","Sub24_AP_bsent.2_moreClear",3,"moreClear","Sub24","AP","2","bsent"
"127","L8","Sub26_Int_bsent.5_conv",71,"conv","Sub26","Int","5","bsent"
"128","L8","Sub26_Int_bsent.5_lessClear",58,"lessClear","Sub26","Int","5","bsent"
"129","L8","Sub26_Int_bsent.5_moreClear",70,"moreClear","Sub26","Int","5","bsent"
"130","L8","Sub11_Int_tsent.3_conv",30,"conv","Sub11","Int","3","tsent"
"131","L8","Sub11_Int_tsent.3_lessClear",5,"lessClear","Sub11","Int","3","tsent"
"132","L8","Sub11_Int_tsent.3_moreClear",25,"moreClear","Sub11","Int","3","tsent"
"133","L8","Sub18_Int_ksent.4_conv",57,"conv","Sub18","Int","4","ksent"
"134","L8","Sub18_Int_ksent.4_lessClear",0,"lessClear","Sub18","Int","4","ksent"
"135","L8","Sub18_Int_ksent.4_moreClear",61,"moreClear","Sub18","Int","4","ksent"
"136","L8","Sub26_AP_tsent.4_conv",16,"conv","Sub26","AP","4","tsent"
"137","L8","Sub26_AP_tsent.4_lessClear",3,"lessClear","Sub26","AP","4","tsent"
"138","L8","Sub26_AP_tsent.4_moreClear",40,"moreClear","Sub26","AP","4","tsent"
"139","L8","Sub11_AP_ksent.2_conv",4,"conv","Sub11","AP","2","ksent"
"140","L8","Sub11_AP_ksent.2_lessClear",2,"lessClear","Sub11","AP","2","ksent"
"141","L8","Sub11_AP_ksent.2_moreClear",0,"moreClear","Sub11","AP","2","ksent"
"142","L8","Sub18_AP_bsent.2_conv",54,"conv","Sub18","AP","2","bsent"
"143","L8","Sub18_AP_bsent.2_lessClear",54,"lessClear","Sub18","AP","2","bsent"
"144","L8","Sub18_AP_bsent.2_moreClear",57,"moreClear","Sub18","AP","2","bsent"
"145","L9","Sub32_Int_bsent.3_conv",99,"conv","Sub32","Int","3","bsent"
"146","L9","Sub32_Int_bsent.3_lessClear",92,"lessClear","Sub32","Int","3","bsent"
"147","L9","Sub32_Int_bsent.3_moreClear",100,"moreClear","Sub32","Int","3","bsent"
"148","L9","Sub30_Int_tsent.3_conv",59,"conv","Sub30","Int","3","tsent"
"149","L9","Sub30_Int_tsent.3_lessClear",44,"lessClear","Sub30","Int","3","tsent"
"150","L9","Sub30_Int_tsent.3_moreClear",49,"moreClear","Sub30","Int","3","tsent"
"151","L9","Sub35_Int_ksent.2_conv",77,"conv","Sub35","Int","2","ksent"
"152","L9","Sub35_Int_ksent.2_lessClear",75,"lessClear","Sub35","Int","2","ksent"
"153","L9","Sub35_Int_ksent.2_moreClear",80,"moreClear","Sub35","Int","2","ksent"
"154","L9","Sub32_AP_tsent.2_conv",88,"conv","Sub32","AP","2","tsent"
"155","L9","Sub32_AP_tsent.2_lessClear",85,"lessClear","Sub32","AP","2","tsent"
"156","L9","Sub32_AP_tsent.2_moreClear",97,"moreClear","Sub32","AP","2","tsent"
"157","L9","Sub30_AP_ksent.5_conv",94,"conv","Sub30","AP","5","ksent"
"158","L9","Sub30_AP_ksent.5_lessClear",75,"lessClear","Sub30","AP","5","ksent"
"159","L9","Sub30_AP_ksent.5_moreClear",98,"moreClear","Sub30","AP","5","ksent"
"160","L9","Sub35_AP_bsent.2_conv",96,"conv","Sub35","AP","2","bsent"
"161","L9","Sub35_AP_bsent.2_lessClear",90,"lessClear","Sub35","AP","2","bsent"
"162","L9","Sub35_AP_bsent.2_moreClear",96,"moreClear","Sub35","AP","2","bsent"
"163","L10","Sub18_Int_bsent.4_conv",15,"conv","Sub18","Int","4","bsent"
"164","L10","Sub18_Int_bsent.4_lessClear",10,"lessClear","Sub18","Int","4","bsent"
"165","L10","Sub18_Int_bsent.4_moreClear",13,"moreClear","Sub18","Int","4","bsent"
"166","L10","Sub28_Int_tsent.2_conv",0,"conv","Sub28","Int","2","tsent"
"167","L10","Sub28_Int_tsent.2_lessClear",0,"lessClear","Sub28","Int","2","tsent"
"168","L10","Sub28_Int_tsent.2_moreClear",0,"moreClear","Sub28","Int","2","tsent"
"169","L10","Sub16_Int_ksent.2_conv",36,"conv","Sub16","Int","2","ksent"
"170","L10","Sub16_Int_ksent.2_lessClear",6,"lessClear","Sub16","Int","2","ksent"
"171","L10","Sub16_Int_ksent.2_moreClear",39,"moreClear","Sub16","Int","2","ksent"
"172","L10","Sub18_AP_tsent.5_conv",10,"conv","Sub18","AP","5","tsent"
"173","L10","Sub18_AP_tsent.5_lessClear",4,"lessClear","Sub18","AP","5","tsent"
"174","L10","Sub18_AP_tsent.5_moreClear",9,"moreClear","Sub18","AP","5","tsent"
"175","L10","Sub28_AP_ksent.4_conv",0,"conv","Sub28","AP","4","ksent"
"176","L10","Sub28_AP_ksent.4_lessClear",0,"lessClear","Sub28","AP","4","ksent"
"177","L10","Sub28_AP_ksent.4_moreClear",0,"moreClear","Sub28","AP","4","ksent"
"178","L10","Sub16_AP_bsent.1_conv",36,"conv","Sub16","AP","1","bsent"
"179","L10","Sub16_AP_bsent.1_lessClear",80,"lessClear","Sub16","AP","1","bsent"
"180","L10","Sub16_AP_bsent.1_moreClear",64,"moreClear","Sub16","AP","1","bsent"
"181","L11","Sub23_Int_bsent.2_conv",13,"conv","Sub23","Int","2","bsent"
"182","L11","Sub23_Int_bsent.2_lessClear",0,"lessClear","Sub23","Int","2","bsent"
"183","L11","Sub23_Int_bsent.2_moreClear",29,"moreClear","Sub23","Int","2","bsent"
"184","L11","Sub12_Int_tsent.1_conv",0,"conv","Sub12","Int","1","tsent"
"185","L11","Sub12_Int_tsent.1_lessClear",0,"lessClear","Sub12","Int","1","tsent"
"186","L11","Sub12_Int_tsent.1_moreClear",0,"moreClear","Sub12","Int","1","tsent"
"187","L11","Sub25_Int_ksent.5_conv",0,"conv","Sub25","Int","5","ksent"
"188","L11","Sub25_Int_ksent.5_lessClear",0,"lessClear","Sub25","Int","5","ksent"
"189","L11","Sub25_Int_ksent.5_moreClear",0,"moreClear","Sub25","Int","5","ksent"
"190","L11","Sub23_AP_tsent.1_conv",23,"conv","Sub23","AP","1","tsent"
"191","L11","Sub23_AP_tsent.1_lessClear",1,"lessClear","Sub23","AP","1","tsent"
"192","L11","Sub23_AP_tsent.1_moreClear",51,"moreClear","Sub23","AP","1","tsent"
"193","L11","Sub12_AP_ksent.5_conv",5,"conv","Sub12","AP","5","ksent"
"194","L11","Sub12_AP_ksent.5_lessClear",0,"lessClear","Sub12","AP","5","ksent"
"195","L11","Sub12_AP_ksent.5_moreClear",13,"moreClear","Sub12","AP","5","ksent"
"196","L11","Sub25_AP_bsent.3_conv",0,"conv","Sub25","AP","3","bsent"
"197","L11","Sub25_AP_bsent.3_lessClear",0,"lessClear","Sub25","AP","3","bsent"
"198","L11","Sub25_AP_bsent.3_moreClear",0,"moreClear","Sub25","AP","3","bsent"
"199","L12","Sub30_Int_bsent.2_conv",100,"conv","Sub30","Int","2","bsent"
"200","L12","Sub30_Int_bsent.2_lessClear",58,"lessClear","Sub30","Int","2","bsent"
"201","L12","Sub30_Int_bsent.2_moreClear",91,"moreClear","Sub30","Int","2","bsent"
"202","L12","Sub23_Int_tsent.4_conv",0,"conv","Sub23","Int","4","tsent"
"203","L12","Sub23_Int_tsent.4_lessClear",0,"lessClear","Sub23","Int","4","tsent"
"204","L12","Sub23_Int_tsent.4_moreClear",0,"moreClear","Sub23","Int","4","tsent"
"205","L12","Sub26_Int_ksent.2_conv",0,"conv","Sub26","Int","2","ksent"
"206","L12","Sub26_Int_ksent.2_lessClear",100,"lessClear","Sub26","Int","2","ksent"
"207","L12","Sub26_Int_ksent.2_moreClear",56,"moreClear","Sub26","Int","2","ksent"
"208","L12","Sub30_AP_tsent.3_conv",0,"conv","Sub30","AP","3","tsent"
"209","L12","Sub30_AP_tsent.3_lessClear",56,"lessClear","Sub30","AP","3","tsent"
"210","L12","Sub30_AP_tsent.3_moreClear",62,"moreClear","Sub30","AP","3","tsent"
"211","L12","Sub23_AP_ksent.4_conv",0,"conv","Sub23","AP","4","ksent"
"212","L12","Sub23_AP_ksent.4_lessClear",0,"lessClear","Sub23","AP","4","ksent"
"213","L12","Sub23_AP_ksent.4_moreClear",0,"moreClear","Sub23","AP","4","ksent"
"214","L12","Sub26_AP_bsent.2_conv",52,"conv","Sub26","AP","2","bsent"
"215","L12","Sub26_AP_bsent.2_lessClear",22,"lessClear","Sub26","AP","2","bsent"
"216","L12","Sub26_AP_bsent.2_moreClear",95,"moreClear","Sub26","AP","2","bsent"
"217","L13","Sub22_Int_bsent.3_conv",11,"conv","Sub22","Int","3","bsent"
"218","L13","Sub22_Int_bsent.3_lessClear",10,"lessClear","Sub22","Int","3","bsent"
"219","L13","Sub22_Int_bsent.3_moreClear",11,"moreClear","Sub22","Int","3","bsent"
"220","L13","Sub25_Int_tsent.1_conv",0,"conv","Sub25","Int","1","tsent"
"221","L13","Sub25_Int_tsent.1_lessClear",0,"lessClear","Sub25","Int","1","tsent"
"222","L13","Sub25_Int_tsent.1_moreClear",0,"moreClear","Sub25","Int","1","tsent"
"223","L13","Sub30_Int_ksent.2_conv",100,"conv","Sub30","Int","2","ksent"
"224","L13","Sub30_Int_ksent.2_lessClear",19,"lessClear","Sub30","Int","2","ksent"
"225","L13","Sub30_Int_ksent.2_moreClear",38,"moreClear","Sub30","Int","2","ksent"
"226","L13","Sub22_AP_tsent.3_conv",47,"conv","Sub22","AP","3","tsent"
"227","L13","Sub22_AP_tsent.3_lessClear",82,"lessClear","Sub22","AP","3","tsent"
"228","L13","Sub22_AP_tsent.3_moreClear",90,"moreClear","Sub22","AP","3","tsent"
"229","L13","Sub25_AP_ksent.1_conv",0,"conv","Sub25","AP","1","ksent"
"230","L13","Sub25_AP_ksent.1_lessClear",0,"lessClear","Sub25","AP","1","ksent"
"231","L13","Sub25_AP_ksent.1_moreClear",0,"moreClear","Sub25","AP","1","ksent"
"232","L13","Sub30_AP_bsent.1_conv",95,"conv","Sub30","AP","1","bsent"
"233","L13","Sub30_AP_bsent.1_lessClear",77,"lessClear","Sub30","AP","1","bsent"
"234","L13","Sub30_AP_bsent.1_moreClear",100,"moreClear","Sub30","AP","1","bsent"
"235","L14","Sub34_Int_bsent.1_conv",88,"conv","Sub34","Int","1","bsent"
"236","L14","Sub34_Int_bsent.1_lessClear",97,"lessClear","Sub34","Int","1","bsent"
"237","L14","Sub34_Int_bsent.1_moreClear",65,"moreClear","Sub34","Int","1","bsent"
"238","L14","Sub26_Int_tsent.3_conv",42,"conv","Sub26","Int","3","tsent"
"239","L14","Sub26_Int_tsent.3_lessClear",6,"lessClear","Sub26","Int","3","tsent"
"240","L14","Sub26_Int_tsent.3_moreClear",39,"moreClear","Sub26","Int","3","tsent"
"241","L14","Sub18_Int_ksent.1_conv",97,"conv","Sub18","Int","1","ksent"
"242","L14","Sub18_Int_ksent.1_lessClear",92,"lessClear","Sub18","Int","1","ksent"
"243","L14","Sub18_Int_ksent.1_moreClear",92,"moreClear","Sub18","Int","1","ksent"
"244","L14","Sub34_AP_tsent.1_conv",28,"conv","Sub34","AP","1","tsent"
"245","L14","Sub34_AP_tsent.1_lessClear",12,"lessClear","Sub34","AP","1","tsent"
"246","L14","Sub34_AP_tsent.1_moreClear",82,"moreClear","Sub34","AP","1","tsent"
"247","L14","Sub26_AP_ksent.3_conv",2,"conv","Sub26","AP","3","ksent"
"248","L14","Sub26_AP_ksent.3_lessClear",7,"lessClear","Sub26","AP","3","ksent"
"249","L14","Sub26_AP_ksent.3_moreClear",96,"moreClear","Sub26","AP","3","ksent"
"250","L14","Sub18_AP_bsent.3_conv",69,"conv","Sub18","AP","3","bsent"
"251","L14","Sub18_AP_bsent.3_lessClear",71,"lessClear","Sub18","AP","3","bsent"
"252","L14","Sub18_AP_bsent.3_moreClear",67,"moreClear","Sub18","AP","3","bsent"
"253","L15","Sub30_Int_bsent.5_conv",85,"conv","Sub30","Int","5","bsent"
"254","L15","Sub30_Int_bsent.5_lessClear",93,"lessClear","Sub30","Int","5","bsent"
"255","L15","Sub30_Int_bsent.5_moreClear",100,"moreClear","Sub30","Int","5","bsent"
"256","L15","Sub18_Int_tsent.3_conv",36,"conv","Sub18","Int","3","tsent"
"257","L15","Sub18_Int_tsent.3_lessClear",47,"lessClear","Sub18","Int","3","tsent"
"258","L15","Sub18_Int_tsent.3_moreClear",44,"moreClear","Sub18","Int","3","tsent"
"259","L15","Sub34_Int_ksent.1_conv",59,"conv","Sub34","Int","1","ksent"
"260","L15","Sub34_Int_ksent.1_lessClear",52,"lessClear","Sub34","Int","1","ksent"
"261","L15","Sub34_Int_ksent.1_moreClear",100,"moreClear","Sub34","Int","1","ksent"
"262","L15","Sub30_AP_tsent.5_conv",4,"conv","Sub30","AP","5","tsent"
"263","L15","Sub30_AP_tsent.5_lessClear",6,"lessClear","Sub30","AP","5","tsent"
"264","L15","Sub30_AP_tsent.5_moreClear",66,"moreClear","Sub30","AP","5","tsent"
"265","L15","Sub18_AP_ksent.2_conv",100,"conv","Sub18","AP","2","ksent"
"266","L15","Sub18_AP_ksent.2_lessClear",65,"lessClear","Sub18","AP","2","ksent"
"267","L15","Sub18_AP_ksent.2_moreClear",100,"moreClear","Sub18","AP","2","ksent"
"268","L15","Sub34_AP_bsent.2_conv",56,"conv","Sub34","AP","2","bsent"
"269","L15","Sub34_AP_bsent.2_lessClear",70,"lessClear","Sub34","AP","2","bsent"
"270","L15","Sub34_AP_bsent.2_moreClear",42,"moreClear","Sub34","AP","2","bsent"
"271","L16","Sub11_Int_bsent.4_conv",0,"conv","Sub11","Int","4","bsent"
"272","L16","Sub11_Int_bsent.4_lessClear",0,"lessClear","Sub11","Int","4","bsent"
"273","L16","Sub11_Int_bsent.4_moreClear",3,"moreClear","Sub11","Int","4","bsent"
"274","L16","Sub23_Int_tsent.5_conv",0,"conv","Sub23","Int","5","tsent"
"275","L16","Sub23_Int_tsent.5_lessClear",0,"lessClear","Sub23","Int","5","tsent"
"276","L16","Sub23_Int_tsent.5_moreClear",0,"moreClear","Sub23","Int","5","tsent"
"277","L16","Sub32_Int_ksent.4_conv",60,"conv","Sub32","Int","4","ksent"
"278","L16","Sub32_Int_ksent.4_lessClear",76,"lessClear","Sub32","Int","4","ksent"
"279","L16","Sub32_Int_ksent.4_moreClear",100,"moreClear","Sub32","Int","4","ksent"
"280","L16","Sub11_AP_tsent.3_conv",18,"conv","Sub11","AP","3","tsent"
"281","L16","Sub11_AP_tsent.3_lessClear",2,"lessClear","Sub11","AP","3","tsent"
"282","L16","Sub11_AP_tsent.3_moreClear",52,"moreClear","Sub11","AP","3","tsent"
"283","L16","Sub23_AP_ksent.3_conv",62,"conv","Sub23","AP","3","ksent"
"284","L16","Sub23_AP_ksent.3_lessClear",27,"lessClear","Sub23","AP","3","ksent"
"285","L16","Sub23_AP_ksent.3_moreClear",36,"moreClear","Sub23","AP","3","ksent"
"286","L16","Sub32_AP_bsent.4_conv",88,"conv","Sub32","AP","4","bsent"
"287","L16","Sub32_AP_bsent.4_lessClear",1,"lessClear","Sub32","AP","4","bsent"
"288","L16","Sub32_AP_bsent.4_moreClear",100,"moreClear","Sub32","AP","4","bsent"
"289","L17","Sub26_Int_bsent.3_conv",51,"conv","Sub26","Int","3","bsent"
"290","L17","Sub26_Int_bsent.3_lessClear",13,"lessClear","Sub26","Int","3","bsent"
"291","L17","Sub26_Int_bsent.3_moreClear",100,"moreClear","Sub26","Int","3","bsent"
"292","L17","Sub11_Int_tsent.4_conv",2,"conv","Sub11","Int","4","tsent"
"293","L17","Sub11_Int_tsent.4_lessClear",4,"lessClear","Sub11","Int","4","tsent"
"294","L17","Sub11_Int_tsent.4_moreClear",3,"moreClear","Sub11","Int","4","tsent"
"295","L17","Sub11_Int_ksent.1_conv",1,"conv","Sub11","Int","1","ksent"
"296","L17","Sub11_Int_ksent.1_lessClear",0,"lessClear","Sub11","Int","1","ksent"
"297","L17","Sub11_Int_ksent.1_moreClear",13,"moreClear","Sub11","Int","1","ksent"
"298","L17","Sub26_AP_tsent.2_conv",15,"conv","Sub26","AP","2","tsent"
